,Model,PCA,MSE,MAE,R^2
3,Random Forest,No PCA,0.003066733330366225,0.0247518543382388,0.37570118032899036
4,Random Forest,Scaler,0.0030780648622794914,0.024742142940350133,0.37339440590929474
0,Linear Regression,No PCA,0.004540774384305086,0.0361974139772582,0.07562876092148096
1,Linear Regression,Scaler,0.004540774384618273,0.03619741398122431,0.07562876085772507
2,Linear Regression,With PCA,0.00473794853546373,0.03637195083305218,0.03548976721795105
5,Random Forest,With PCA,0.004897852296037346,0.037795570401043636,0.0029379545126897444
